tanggal,hari,tanggal_sort,giling_batang,giling_estimasi_pack,giling_karton,giling_karyawan,giling_upah,giling_status,verpack_pack,verpack_batang_equiv,verpack_karton,verpack_karyawan,verpack_upah,verpack_status,merek_giling,merek_verpack
2026-05-01,Jumat,2026-05-01,0,0,0,0,0,TIDAK_ADA_GILING_TERBACA,0,0,0,0,0,TIDAK_ADA_VERPACK_TERBACA,,
2026-05-02,Sabtu,2026-05-02,504800,36893.75,47.24,0,20688600,ADA_GILING,23100,290000,30.17,60,4499000,ADA_VERPACK,Cengkeh Biru 77 isi 16: 3.300 batang; GCC 99 isi 12: 256.500 batang; GCC 99 isi 16: 245.000 batang,CB 16: 200 pack; GCC 16: 3.000 pack; GCC 99: 12.500 pack; REFILL H: 7.400 pack
2026-05-03,Minggu,2026-05-03,0,0,0,0,0,TIDAK_ADA_GILING_TERBACA,0,0,0,0,0,TIDAK_ADA_VERPACK_TERBACA,,
2026-05-04,Senin,2026-05-04,508100,42341.67,42.34,0,20324000,ADA_GILING,42100,553600,50.17,65,7641000,ADA_VERPACK,GCC 99 isi 12: 508.100 batang,GCC 16: 12.100 pack; GCC 99: 30.000 pack
2026-05-05,Selasa,2026-05-05,504800,42066.67,42.08,0,20193800,ADA_GILING,37000,552000,55.0,64,7370000,ADA_VERPACK,Cengkeh Refill isi 12: 300 batang; GCC 99 isi 12: 504.500 batang,GCC 16: 27.000 pack; GCC 99: 10.000 pack
2026-05-06,Rabu,2026-05-06,500700,41110.42,42.34,0,20087000,ADA_GILING,36850,581400,61.41,66,7779500,ADA_VERPACK,Cengkeh Biru 77 isi 16: 29.500 batang; GCC 99 isi 12: 471.200 batang,CB 16: 1.800 pack; GCC 16: 33.000 pack; REFILL H: 2.050 pack
2026-05-07,Kamis,2026-05-07,437600,36466.67,36.47,0,17504000,ADA_GILING,40000,480000,40,58,6800000,ADA_VERPACK,GCC 99 isi 12: 437.600 batang,GCC 99: 40.000 pack
2026-05-08,Jumat,2026-05-08,430300,35445.83,36.27,0,17251600,ADA_GILING,30000,360000,30,60,5100000,ADA_VERPACK,Cengkeh Biru 77 isi 12: 24.000 batang; Cengkeh Biru 77 isi 16: 19.800 batang; GCC 99 isi 12: 386.500 batang,GCC 99: 30.000 pack
2026-05-09,Sabtu,2026-05-09,461700,38475,38.48,0,18468000,ADA_GILING,33700,409200,34.5,63,5777000,ADA_VERPACK,GCC 99 isi 12: 461.700 batang,CB 16: 1.200 pack; CB 77: 2.000 pack; GCC 99: 30.500 pack
2026-05-10,Minggu,2026-05-10,0,0,0,0,0,TIDAK_ADA_GILING_TERBACA,0,0,0,0,0,TIDAK_ADA_VERPACK_TERBACA,,
2026-05-11,Senin,2026-05-11,490000,40833.33,40.83,0,19600000,ADA_GILING,26000,336000,30.0,58,4660000,ADA_VERPACK,GCC 99 isi 12: 490.000 batang,GCC 16: 6.000 pack; GCC 99: 20.000 pack
2026-05-12,Selasa,2026-05-12,493600,37560.42,44.71,0,20087000,ADA_GILING,39000,624000,65,61,8190000,ADA_VERPACK,GCC 99 isi 12: 322.100 batang; GCC 99 isi 16: 171.500 batang,GCC 16: 39.000 pack
2026-05-13,Rabu,2026-05-13,482300,40191.67,40.19,0,19292000,ADA_GILING,54600,673600,57.67,59,9466000,ADA_VERPACK,GCC 99 isi 12: 482.300 batang,GCC 16: 4.600 pack; GCC 99: 50.000 pack
2026-05-14,Kamis,2026-05-14,463200,38600,38.6,0,18528000,ADA_GILING,56000,672000,56,61,9520000,ADA_VERPACK,GCC 99 isi 12: 463.200 batang,GCC 99: 56.000 pack
2026-05-15,Jumat,2026-05-15,0,0,0,0,0,TIDAK_ADA_GILING_TERBACA,0,0,0,0,0,TIDAK_ADA_VERPACK_TERBACA,,
2026-05-16,Sabtu,2026-05-16,0,0,0,0,0,TIDAK_ADA_GILING_TERBACA,0,0,0,0,0,TIDAK_ADA_VERPACK_TERBACA,,
2026-05-17,Minggu,2026-05-17,0,0,0,0,0,TIDAK_ADA_GILING_TERBACA,0,0,0,0,0,TIDAK_ADA_VERPACK_TERBACA,,
2026-05-18,Senin,2026-05-18,0,0,0,0,0,TIDAK_ADA_GILING_TERBACA,21600,345600,36,55,4536000,ADA_VERPACK,,GCC 16: 21.600 pack
2026-05-19,Selasa,2026-05-19,0,0,0,0,0,TIDAK_ADA_GILING_TERBACA,36000,576000,60.0,62,7591500,ADA_VERPACK,,GCC 16: 36.000 pack
2026-05-20,Rabu,2026-05-20,0,0,0,0,0,TIDAK_ADA_GILING_TERBACA,33800,540800,56.33,61,7098000,ADA_VERPACK,,GCC 16: 33.800 pack
