tanggal,sku,merek,jenis_mutasi,sumber,no_bukti,debet_pack,kredit_pack,saldo_pack,status,catatan
2026-05-24,GCC99-12,Gedung Cengkeh Coklat 99 isi 12,SALDO_AWAL,browse_barang_jadi.csv,SA-20260524-GCC99-12,55500,0,55500,VALID AWAL,"Saldo kerja awal sebelum mutasi ledger lanjutan"
2026-05-24,GCC99-12,Gedung Cengkeh Coklat 99 isi 12,SJ_KELUAR,browse_surat_jalan.csv,128/SJ/BAL/V/2026,0,10000,45500,VALID AWAL,"SJ128 mengurangi stok GCC 99 isi 12 sebanyak 10.000 pack"
2026-05-25,GCC99-12,Gedung Cengkeh Coklat 99 isi 12,VERPACK_MASUK,browse_barang_jadi.csv,VP-20260525-GCC99-12,44500,0,90000,VALID AWAL,"Update packing 25 Mei; tambah verpack normal 44.500 pack"
2026-05-25,GCC99-12,Gedung Cengkeh Coklat 99 isi 12,OPNAME_PLUS,stock_opname_gudang_20260525,OPN-20260525-GCC99-12,10000,0,100000,VALID AWAL,"Penyesuaian ke closing gudang 25 Mei: GC Coklat 99 Merah 100.000 pack / 100 karton"
2026-05-24,C-023,Gedung Cengkeh 16 New / New GCC 99 isi 16,SALDO_AWAL,browse_barang_jadi.csv,SA-20260524-C023,90780,0,90780,VALID AWAL,"Saldo kerja sebelum SJ128 dan update 25 Mei; dihitung dari kebutuhan rekonsiliasi awal"
2026-05-24,C-023,Gedung Cengkeh 16 New / New GCC 99 isi 16,SJ_KELUAR,browse_surat_jalan.csv,128/SJ/BAL/V/2026,0,90000,780,VALID AWAL,"SJ128 mengurangi stok C-023 sebanyak 90.000 pack"
2026-05-25,C-023,Gedung Cengkeh 16 New / New GCC 99 isi 16,VERPACK_MASUK,browse_barang_jadi.csv,VP-20260525-C023,6600,0,7380,VALID AWAL,"Update packing 25 Mei; tambah verpack 6.600 pack"
2026-05-25,C-023,Gedung Cengkeh 16 New / New GCC 99 isi 16,OPNAME_MINUS,stock_opname_gudang_20260525,OPN-20260525-C023,0,7380,0,PERLU MAPPING,"Dalam gambar closing 25 Mei, C-023/Gedung Cengkeh 16 New perlu dipastikan mappingnya dengan GC New 16/Gedung Cengkeh 16 Biru sebelum dipakai final"
2026-05-25,C-031,New Ambree Biru / New Gedung Cengkeh Coklat 99 isi 16 Ambree Biru,SALDO_AWAL,browse_barang_jadi.csv,SA-20260525-C031,19998,0,19998,VALID AWAL,"Saldo C-031 tidak berubah menurut browse_barang_jadi 25 Mei"
2026-05-25,C-031,New Ambree Biru / New Gedung Cengkeh Coklat 99 isi 16 Ambree Biru,OPNAME_MINUS,stock_opname_gudang_20260525,OPN-20260525-C031,0,48,19950,VALID AWAL,"Penyesuaian kecil ke gambar closing: Gedung Cengkeh 16 Biru 19.950 pack"
