urutan,halaman,status,prioritas,catatan
1,brand-logo-control.html,SIAP CEK LOGO,WAJIB,"Pastikan logo-banyuanyar.png sudah tampil."
2,laporan-closing-bulanan-detail.html,BELUM DIPASANG,UTAMA,"Laporan final bulanan wajib memakai logo."
3,laporan-general-alur-detail.html,BELUM DIPASANG,UTAMA,"Laporan general semua alur wajib memakai logo."
4,laporan-export.html,BELUM DIPASANG,UTAMA,"Pusat laporan dan export wajib memakai logo."
5,index.html,BELUM DIPASANG,UTAMA,"Halaman utama wajib memakai logo."
6,laporan-produksi-detail.html,BELUM DIPASANG,LAPORAN,"Laporan produksi memakai logo."
7,laporan-barang-jadi-detail.html,BELUM DIPASANG,LAPORAN,"Laporan barang jadi memakai logo."
8,laporan-pita-cukai-detail.html,BELUM DIPASANG,LAPORAN,"Laporan pita cukai memakai logo."
9,laporan-do-sj-pasar-detail.html,BELUM DIPASANG,LAPORAN,"Laporan DO/SJ memakai logo."
10,laporan-distributor-pasar-detail.html,BELUM DIPASANG,LAPORAN,"Laporan pasar memakai logo."
11,produksi.html,BELUM DIPASANG,MODUL,"Pusat produksi memakai logo."
12,barang-jadi.html,BELUM DIPASANG,MODUL,"Pusat barang jadi memakai logo."
13,pita-cukai.html,BELUM DIPASANG,MODUL,"Pusat pita cukai memakai logo."
14,do-sj.html,BELUM DIPASANG,MODUL,"Pusat DO/SJ memakai logo."
15,distributor-pasar.html,BELUM DIPASANG,MODUL,"Pusat pasar memakai logo."
