urutan,judul,path,status
1,Start Branded,START-BRANDED.html,AKTIF
2,Brand Logo Control,brand-logo-control.html,AKTIF
3,Pusat Branded Reports,branded-reports.html,AKTIF
4,Closing Bulanan Branded,laporan-closing-branded.html,AKTIF
5,General Alur Branded,laporan-general-branded.html,AKTIF
6,Laporan Export Branded,laporan-export-branded.html,AKTIF
7,Halaman Utama Branded,index-branded.html,AKTIF
8,Produksi Branded,laporan-produksi-branded.html,AKTIF
9,Barang Jadi Branded,laporan-barang-jadi-branded.html,AKTIF
10,Pita Cukai Branded,laporan-pita-cukai-branded.html,AKTIF
11,DO SJ Branded,laporan-do-sj-branded.html,AKTIF
12,Distributor Pasar Branded,laporan-distributor-pasar-branded.html,AKTIF
