tanggal_stok,kode_sku,merek,stok_awal,masuk_verpack,keluar_sj,retur_masuk,koreksi_plus,koreksi_minus,stok_akhir,konversi_stok,po_belum_terkirim,selisih_stok_vs_po,status_stok,validasi
2026-05-29,C-031,New Ambree Biru / New Gedung Cengkeh Coklat 99 isi 16 Ambree Biru,0,0,0,0,0,0,19998,"33 karton 1 bal 9 slop 8 pack",0,19998,STOK ADA,VALID AWAL - update Barang Jadi 29 Mei 2026 dari browse_barang_jadi.csv
2026-05-29,C-023,Gedung Cengkeh 16 New / New Gedung Cengkeh Coklat 99 isi 16,0,0,0,0,0,0,6980,"11 karton 3 bal 8 slop",0,6980,STOK ADA TERBATAS,VALID AWAL - update Barang Jadi 29 Mei 2026 dari browse_barang_jadi.csv
2026-05-29,C-015,Cengkeh Biru 77 isi 16,0,0,0,0,0,0,0,"0",0,0,STOK 0,VALID AWAL - update Barang Jadi 29 Mei 2026 dari browse_barang_jadi.csv
2026-05-29,C-012,Cengkeh Biru 77 isi 12,0,0,0,0,0,0,0,"0",0,0,STOK 0,VALID AWAL - update Barang Jadi 29 Mei 2026 dari browse_barang_jadi.csv
2026-05-29,GCC99-12,Gedung Cengkeh Coklat 99 isi 12,0,0,0,0,0,0,10000,"10 karton",0,10000,STOK ADA TERBATAS,VALID AWAL - update Barang Jadi 29 Mei 2026 dari browse_barang_jadi.csv
2026-05-29,TUD-NEW16,TUD New GCC 99 isi 16,0,0,0,0,0,0,2,"2 pack TUD arsip",0,2,TUD ARSIP,VALID AWAL - update Barang Jadi 29 Mei 2026 dari browse_barang_jadi.csv
2026-05-29,,Gedung Cengkeh Coklat 99 Polos,0,0,0,0,0,0,0,"0",0,0,STOK 0,VALID AWAL - update Barang Jadi 29 Mei 2026 dari browse_barang_jadi.csv
2026-05-29,,Gedung Cengkeh Coklat 99 Kuning,0,0,0,0,0,0,0,"0",0,0,STOK 0,VALID AWAL - update Barang Jadi 29 Mei 2026 dari browse_barang_jadi.csv
2026-05-29,,Cengkeh Refill,0,0,0,0,0,0,130,"1 bal 3 slop",0,130,STOK ADA TERBATAS,VALID AWAL - update Barang Jadi 29 Mei 2026 dari browse_barang_jadi.csv
2026-05-29,,New Gedung cengkeh Coklat 99 isi 16 ambree,0,0,0,0,0,0,830,"1 karton 1 bal 3 slop",0,830,STOK ADA,VALID AWAL - update Barang Jadi 29 Mei 2026 dari browse_barang_jadi.csv
2026-05-29,,Cengkeh Refill Orijinal,0,0,0,0,0,0,0,"0",0,0,STOK 0,VALID AWAL - update Barang Jadi 29 Mei 2026 dari browse_barang_jadi.csv
2026-05-29,,BAL 9,0,0,0,0,0,0,0,"0",0,0,STOK 0,VALID AWAL - update Barang Jadi 29 Mei 2026 dari browse_barang_jadi.csv
