tanggal,sumber,jenis_pita,hje,isi,stock_awal_periode,masuk_ck1,pemakaian_ck4c_berjalan,sisa_stock_ck4c,status_ck4c,validasi
2026-05-21,CSCK-3 / Pemakaian Pita sampai 21 Mei,PITA 99 & 77 / GCC 99 isi 12,10.325,12,55700,480000,281000,254700,SALDO SINKRON CSCK-3,VALID AWAL - Saldo akhir 21 Mei = 254.700 keping
2026-05-21,CSCK-3 / Pemakaian Pita sampai 21 Mei,PITA REFILL,10.500,12,7420,12000,9450,9970,SALDO SINKRON CSCK-3,VALID AWAL - Saldo akhir PITA REFILL = 9.970 keping
2026-05-21,CSCK-3 / Pemakaian Pita sampai 21 Mei,PITA 16 / New GCC 99 isi 16,13.775,16,27100,300000,251900,75200,PEMAKAIAN CK4C SINKRON 21 MEI,VALID AWAL - Saldo akhir PITA16 = 75.200 keping
2026-05-20,CK-1 900724 / TIS,TIS - D'CLOVE,55.000,1000,0,2800,0,2800,PROYEKSI TIS,VALID AWAL - belum ada pemakaian TIS
2026-05-22,CK-1 900935 + CK4C 22 Mei,PITA 99 & 77 / GCC 99 isi 12,10.325,12,254700,60000,1000,313700,SALDO SETELAH CK4C 22 MEI,VALID AWAL - 254.700 + 60.000 - 1.000 = 313.700
2026-05-22,CSCK-3 / Pemakaian Pita sampai 22 Mei,PITA REFILL,10.500,12,9970,0,0,9970,SALDO TETAP 22 MEI,VALID AWAL - tidak ada pemakaian/refill 22 Mei
2026-05-22,CK-1 900935 + CK4C 22 Mei,PITA 16 / New GCC 99 isi 16,13.775,16,75200,180000,32300,222900,SALDO SETELAH CK4C 22 MEI,VALID AWAL - 75.200 + 180.000 - 32.300 = 222.900
2026-05-23,CK4C 23 Mei / Pemakaian Pita cocok fisik,PITA 99 & 77 / GCC 99 isi 12,10.325,12,313700,0,10000,303700,SALDO SETELAH CK4C 23 MEI,VALID AWAL - pemakaian GCC 99 isi 12 = 10.000 keping
2026-05-23,CSCK-3 / Pemakaian Pita sampai 23 Mei,PITA REFILL,10.500,12,9970,0,0,9970,SALDO TETAP 23 MEI,VALID AWAL - tidak ada pemakaian/refill 23 Mei
2026-05-23,CK4C 23 Mei / Pemakaian Pita cocok fisik,PITA 16 / New GCC 99 isi 16,13.775,16,222900,0,21000,201900,SALDO SETELAH CK4C 23 MEI,VALID AWAL - pemakaian C-023/Gedung Cengkeh 16 New = 21.000 keping
2026-05-24,CK4C 24 Mei / Verpack lembur GCC 99 isi 12,PITA 99 & 77 / GCC 99 isi 12,10.325,12,303700,0,55000,248700,SALDO SETELAH CK4C 24 MEI,VALID AWAL / LEMBUR 24 MEI - pemakaian 55.000 keping dari verpack lembur GCC 99 isi 12
2026-05-24,CK4C 24 Mei / Excel Pemakaian Pita,PITA 16 / New GCC 99 isi 16,13.775,16,201900,0,6600,195300,SALDO SETELAH CK4C 24 MEI,VALID AWAL / KOREKSI EXCEL PITA - pemakaian PITA16 24 Mei = 6.600 keping
2026-05-24,CSCK-3 / Pemakaian Pita sampai 24 Mei,PITA REFILL,10.500,12,9970,0,0,9970,SALDO TETAP 24 MEI,VALID AWAL - tidak ada pemakaian/refill 24 Mei
2026-05-25,CK4C 25 Mei / Verpack normal GCC 99 isi 12,PITA 99 & 77 / GCC 99 isi 12,10.325,12,248700,0,44500,204200,SALDO SETELAH CK4C 25 MEI,VALID AWAL / PACKING 25 MEI - pemakaian GCC99 isi 12 = 44.500 keping
2026-05-25,CSCK-3 / Pemakaian Pita sampai 25 Mei,PITA REFILL,10.500,12,9970,0,0,9970,SALDO TETAP 25 MEI,VALID AWAL - tidak ada pemakaian/refill 25 Mei
2026-05-25,CK4C 25 Mei / Excel Pemakaian Pita,PITA 16 / New GCC 99 isi 16,13.775,16,195300,0,6600,188700,SALDO SETELAH CK4C 25 MEI,VALID AWAL / KOREKSI EXCEL PITA - pemakaian PITA16 25 Mei = 6.600 keping
2026-05-26,CK4C 26 Mei / Verpack normal GCC 99 isi 12,PITA 99 & 77 / GCC 99 isi 12,10.325,12,204200,0,10000,194200,SALDO SETELAH CK4C 26 MEI,VALID AWAL / PACKING 26 MEI - pemakaian GCC99 isi 12 = 10.000 keping
2026-05-26,CSCK-3 / Pemakaian Pita sampai 26 Mei,PITA REFILL,10.500,12,9970,0,0,9970,SALDO TETAP 26 MEI,VALID AWAL - tidak ada pemakaian/refill 26 Mei
2026-05-26,CK4C 26 Mei / Excel Pemakaian Pita,PITA 16 / New GCC 99 isi 16,13.775,16,188700,0,0,188700,SALDO TETAP 26 MEI,VALID AWAL / KOREKSI EXCEL PITA - tidak ada pemakaian PITA16 tanggal 26 Mei menurut Excel pemakaian pita
