periode_ck4c,no_dokumen_produksi,tanggal_produksi,jenis,merek_app,merek_cukai,hje,bahan_kemasan,isi,satuan,jumlah_kemasan,jumlah_isi,kemasan_dilekati_pita,status_pita,sumber_verpack,status_mapping,validasi,catatan
Mei 2026,01 (2026),2026-05-02,SKT,Cengkeh Biru 77 isi 16,,,Kertas dan Sejenisnya,16,btg,200,3200,,PENDING MAPPING,browse_verpack.csv,DATA BELUM VALID - MASTER MEREK/HJE BELUM ADA,DATA BELUM VALID,Ditahan dari CSV upload cukai sampai master merek/HJE dikunci
Mei 2026,01 (2026),2026-05-02,SKT,GCC 99 isi 16,NEW GEDUNG CENGKEH COKLAT,13775,Kertas dan Sejenisnya,16,btg,3000,48000,3000,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,01 (2026),2026-05-02,SKT,GCC 99 isi 12,GEDUNG CENGKEH COKLAT 99,10325,Kertas dan Sejenisnya,12,btg,12500,150000,12500,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,01 (2026),2026-05-02,SKT,Cengkeh Refill isi 12,CENGKEH REFILL,10500,Kertas dan Sejenisnya,12,btg,7400,88800,7400,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,02 (2026),2026-05-04,SKT,GCC 99 isi 16,NEW GEDUNG CENGKEH COKLAT,13775,Kertas dan Sejenisnya,16,btg,12100,193600,12100,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,02 (2026),2026-05-04,SKT,GCC 99 isi 12,GEDUNG CENGKEH COKLAT 99,10325,Kertas dan Sejenisnya,12,btg,30000,360000,30000,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,03 (2026),2026-05-05,SKT,GCC 99 isi 16,NEW GEDUNG CENGKEH COKLAT,13775,Kertas dan Sejenisnya,16,btg,27000,432000,27000,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,03 (2026),2026-05-05,SKT,GCC 99 isi 12,GEDUNG CENGKEH COKLAT 99,10325,Kertas dan Sejenisnya,12,btg,10000,120000,10000,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,04 (2026),2026-05-06,SKT,Cengkeh Biru 77 isi 16,,,Kertas dan Sejenisnya,16,btg,1800,28800,,PENDING MAPPING,browse_verpack.csv,DATA BELUM VALID - MASTER MEREK/HJE BELUM ADA,DATA BELUM VALID,Ditahan dari CSV upload cukai sampai master merek/HJE dikunci
Mei 2026,04 (2026),2026-05-06,SKT,GCC 99 isi 16,NEW GEDUNG CENGKEH COKLAT,13775,Kertas dan Sejenisnya,16,btg,33000,528000,33000,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,04 (2026),2026-05-06,SKT,Cengkeh Refill isi 12,CENGKEH REFILL,10500,Kertas dan Sejenisnya,12,btg,2050,24600,2050,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,05 (2026),2026-05-07,SKT,GCC 99 isi 12,GEDUNG CENGKEH COKLAT 99,10325,Kertas dan Sejenisnya,12,btg,40000,480000,40000,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,06 (2026),2026-05-08,SKT,GCC 99 isi 12,GEDUNG CENGKEH COKLAT 99,10325,Kertas dan Sejenisnya,12,btg,30000,360000,30000,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
