tanggal_giling,hari,periode_upah,merek,jumlah_batang,estimasi_pack,estimasi_karton,isi_batang,pack_per_karton,tarif_giling_per_batang,total_upah,status_giling,validasi,sumber
2026-05-02,Sabtu,2026-05-01 s/d 2026-05-07,Cengkeh Biru 77 isi 16,3300,206.25,0.3438,16,600,42,138600,NORMAL,VALID AWAL - Laporan giling Mei 2026,01-07_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-02,Sabtu,2026-05-01 s/d 2026-05-07,GCC 99 isi 12,256500,21375.00,21.3750,12,1000,40,10260000,NORMAL,VALID AWAL - Laporan giling Mei 2026,01-07_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-02,Sabtu,2026-05-01 s/d 2026-05-07,GCC 99 isi 16,245000,15312.50,25.5208,16,600,42,10290000,NORMAL,VALID AWAL - Laporan giling Mei 2026,01-07_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-04,Senin,2026-05-01 s/d 2026-05-07,GCC 99 isi 12,508100,42341.67,42.3417,12,1000,40,20324000,NORMAL,VALID AWAL - Laporan giling Mei 2026,01-07_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-05,Selasa,2026-05-01 s/d 2026-05-07,Cengkeh Refill isi 12,300,25.00,0.0417,12,600,46,13800,NORMAL,VALID AWAL - Laporan giling Mei 2026,01-07_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-05,Selasa,2026-05-01 s/d 2026-05-07,GCC 99 isi 12,504500,42041.67,42.0417,12,1000,40,20180000,NORMAL,VALID AWAL - Laporan giling Mei 2026,01-07_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-06,Rabu,2026-05-01 s/d 2026-05-07,Cengkeh Biru 77 isi 16,29500,1843.75,3.0729,16,600,42,1239000,NORMAL,VALID AWAL - Laporan giling Mei 2026,01-07_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-06,Rabu,2026-05-01 s/d 2026-05-07,GCC 99 isi 12,471200,39266.67,39.2667,12,1000,40,18848000,NORMAL,VALID AWAL - Laporan giling Mei 2026,01-07_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-07,Kamis,2026-05-01 s/d 2026-05-07,GCC 99 isi 12,437600,36466.67,36.4667,12,1000,40,17504000,NORMAL,VALID AWAL - Laporan giling Mei 2026,01-07_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-08,Jumat,2026-05-08 s/d 2026-05-14,Cengkeh Biru 77 isi 12,24000,2000.00,2.0000,12,1000,40,960000,NORMAL,VALID AWAL - Laporan giling Mei 2026,08-14_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-08,Jumat,2026-05-08 s/d 2026-05-14,Cengkeh Biru 77 isi 16,19800,1237.50,2.0625,16,600,42,831600,NORMAL,VALID AWAL - Laporan giling Mei 2026,08-14_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-08,Jumat,2026-05-08 s/d 2026-05-14,GCC 99 isi 12,386500,32208.33,32.2083,12,1000,40,15460000,NORMAL,VALID AWAL - Laporan giling Mei 2026,08-14_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-09,Sabtu,2026-05-08 s/d 2026-05-14,GCC 99 isi 12,461700,38475.00,38.4750,12,1000,40,18468000,NORMAL,VALID AWAL - Laporan giling Mei 2026,08-14_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-11,Senin,2026-05-08 s/d 2026-05-14,GCC 99 isi 12,490000,40833.33,40.8333,12,1000,40,19600000,NORMAL,VALID AWAL - Laporan giling Mei 2026,08-14_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-12,Selasa,2026-05-08 s/d 2026-05-14,GCC 99 isi 12,322100,26841.67,26.8417,12,1000,40,12884000,NORMAL,VALID AWAL - Laporan giling Mei 2026,08-14_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-12,Selasa,2026-05-08 s/d 2026-05-14,GCC 99 isi 16,171500,10718.75,17.8646,16,600,42,7203000,NORMAL,VALID AWAL - Laporan giling Mei 2026,08-14_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-13,Rabu,2026-05-08 s/d 2026-05-14,GCC 99 isi 12,482300,40191.67,40.1917,12,1000,40,19292000,NORMAL,VALID AWAL - Laporan giling Mei 2026,08-14_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-14,Kamis,2026-05-08 s/d 2026-05-14,GCC 99 isi 12,463200,38600.00,38.6000,12,1000,40,18528000,NORMAL,VALID AWAL - KOREKSI TANGGAL: hasil 463.200 batang masuk 14 Mei bukan 21 Mei,14-21_MEI_2026.xlsm_decrypted_runtime.xlsx
2026-05-15,Jumat,2026-05-15 s/d 2026-05-21,GCC 99 isi 12,0,0.00,0.0000,12,1000,40,0,NORMAL,NOL / TIDAK ADA PRODUKSI - data terbaca kosong pada sheet 15 Mei,14-21_MEI_2026.xlsm
2026-05-15,Jumat,2026-05-15 s/d 2026-05-21,Cengkeh Biru 77 isi 12,0,0.00,0.0000,12,1000,40,0,NORMAL,NOL / TIDAK ADA PRODUKSI - data terbaca kosong pada sheet 15 Mei,14-21_MEI_2026.xlsm
2026-05-15,Jumat,2026-05-15 s/d 2026-05-21,New GCC 99 isi 16,0,0.00,0.0000,16,600,42,0,NORMAL,NOL / TIDAK ADA PRODUKSI - data terbaca kosong pada sheet 15 Mei,14-21_MEI_2026.xlsm
2026-05-15,Jumat,2026-05-15 s/d 2026-05-21,Cengkeh Biru 77 isi 16,0,0.00,0.0000,16,600,42,0,NORMAL,NOL / TIDAK ADA PRODUKSI - data terbaca kosong pada sheet 15 Mei,14-21_MEI_2026.xlsm
2026-05-16,Sabtu,2026-05-15 s/d 2026-05-21,GCC 99 isi 12,509000,42416.67,42.4167,12,1000,40,20360000,NORMAL,VALID AWAL - Sinkron file 14-21 Mei,14-21_MEI_2026.xlsm
2026-05-16,Sabtu,2026-05-15 s/d 2026-05-21,Cengkeh Biru 77 isi 12,12200,1016.67,1.0167,12,1000,40,488000,NORMAL,VALID AWAL - Mapping cukai CB77 isi 12 = HJE 10.325,14-21_MEI_2026.xlsm
2026-05-16,Sabtu,2026-05-15 s/d 2026-05-21,Cengkeh Biru 77 isi 16,29200,1825.00,3.0417,16,600,42,1226400,NORMAL,VALID AWAL - Mapping cukai CB77 isi 16 = HJE 13.775,14-21_MEI_2026.xlsm
2026-05-18,Senin,2026-05-15 s/d 2026-05-21,GCC 99 isi 12,500500,41708.33,41.7083,12,1000,40,20020000,NORMAL,VALID AWAL - Sinkron file 14-21 Mei,14-21_MEI_2026.xlsm
2026-05-18,Senin,2026-05-15 s/d 2026-05-21,New GCC 99 isi 16,10000,625.00,1.0417,16,600,42,420000,NORMAL,VALID AWAL - Sinkron file 14-21 Mei,14-21_MEI_2026.xlsm
2026-05-19,Selasa,2026-05-15 s/d 2026-05-21,GCC 99 isi 12,554000,46166.67,46.1667,12,1000,40,22160000,NORMAL,VALID AWAL - Sinkron file 14-21 Mei,14-21_MEI_2026.xlsm
