tanggal_giling,hari,periode_upah,merek,jumlah_batang,estimasi_pack,estimasi_karton,isi_batang,pack_per_karton,tarif_giling_per_batang,total_upah,status_giling,validasi,sumber
2026-06-02,Selasa,2026-06-01 s/d 2026-06-13,New GCC 99 isi 16,291200,18200.00,30.3333,16,600,42,12230400,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-02,Selasa,2026-06-01 s/d 2026-06-13,Gedung Cengkeh Coklat 99 isi 12,185000,15416.67,15.4167,12,1000,40,7400000,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-03,Rabu,2026-06-01 s/d 2026-06-13,Gedung Cengkeh Coklat 99 isi 12,520900,43408.33,43.4083,12,1000,40,20836000,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-04,Kamis,2026-06-01 s/d 2026-06-13,Cengkeh Biru 77 isi 16,29200,1825.00,3.0417,16,600,42,1226400,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-04,Kamis,2026-06-01 s/d 2026-06-13,Cengkeh Biru 77 isi 12,12500,1041.67,1.0417,12,1000,40,500000,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-04,Kamis,2026-06-01 s/d 2026-06-13,Gedung Cengkeh Coklat 99 isi 12,455400,37950.00,37.9500,12,1000,40,18216000,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-05,Jumat,2026-06-01 s/d 2026-06-13,Gedung Cengkeh Coklat 99 isi 12,480300,40025.00,40.0250,12,1000,40,19212000,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-06,Sabtu,2026-06-01 s/d 2026-06-13,Gedung Cengkeh Coklat 99 isi 12,470800,39233.33,39.2333,12,1000,40,18832000,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-08,Senin,2026-06-01 s/d 2026-06-13,BAL 9 isi 12,19600,1633.33,1.6333,12,1000,42,823200,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-08,Senin,2026-06-01 s/d 2026-06-13,Gedung Cengkeh Coklat 99 isi 12,428700,35725.00,35.7250,12,1000,40,17148000,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-09,Selasa,2026-06-01 s/d 2026-06-13,Gedung Cengkeh Coklat 99 isi 12,484900,40408.33,40.4083,12,1000,40,19396000,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-09,Selasa,2026-06-01 s/d 2026-06-13,Cengkeh Refill Hitam isi 12,3200,266.67,0.4444,12,600,46,147200,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-09,Selasa,2026-06-01 s/d 2026-06-13,Cengkeh Refill Kuning isi 12,1000,83.33,0.1389,12,600,46,46000,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-10,Rabu,2026-06-01 s/d 2026-06-13,Gedung Cengkeh Coklat 99 isi 12,493700,41141.67,41.1417,12,1000,40,19748000,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-11,Kamis,2026-06-01 s/d 2026-06-13,Gedung Cengkeh Coklat 99 isi 12,525800,43816.67,43.8167,12,1000,40,21032000,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-12,Jumat,2026-06-01 s/d 2026-06-13,BAL 9 isi 12,2500,208.33,0.2083,12,1000,42,105000,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-12,Jumat,2026-06-01 s/d 2026-06-13,Gedung Cengkeh Coklat 99 isi 12,516100,43008.33,43.0083,12,1000,40,20644000,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-13,Sabtu,2026-06-01 s/d 2026-06-13,Cengkeh Biru 77 isi 16,29500,1843.75,3.0729,16,600,42,1239000,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-13,Sabtu,2026-06-01 s/d 2026-06-13,Cengkeh Biru 77 isi 12,12200,1016.67,1.0167,12,1000,40,488000,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
2026-06-13,Sabtu,2026-06-01 s/d 2026-06-13,Gedung Cengkeh Coklat 99 isi 12,521600,43466.67,43.4667,12,1000,40,20864000,NORMAL,VALID AWAL - Update giling Juni 02-13; append only; giling WIP bukan barang jadi/CK4C,LAPORAN_GILING_PR_BANYUANYAR_LESTARI_PENAMPUNG_VALID_UPDATE_02_13_JUNI_2026.xlsx
