tanggal_verpack,hari,periode_upah,merek,jumlah_pack,karton_equiv,isi_batang,jumlah_batang_equiv,status_verpack,tarif_pack,total_upah,masuk_stok_bj,pemakaian_pita,status_ck4c,validasi
2026-06-02,Selasa,2026-06-01 s/d 2026-06-13,New GCC 99 isi 16 Ambree Biru,4800,8.000,16,76800,NORMAL,210,1008000,YA,YA,DASAR CK-4C,VALID AWAL - Laporan Packing Juni 02-13 REV TUD; detail packing menjadi dasar BJ/CK4C
2026-06-02,Selasa,2026-06-01 s/d 2026-06-13,GCC 99 isi 12,39900,39.900,12,478800,NORMAL,170,6783000,YA,YA,DASAR CK-4C,VALID AWAL - Laporan Packing Juni 02-13 REV TUD; detail packing menjadi dasar BJ/CK4C
2026-06-03,Rabu,2026-06-01 s/d 2026-06-13,New GCC 99 isi 16 Ambree Biru,35310,58.850,16,564960,NORMAL,210,7415100,YA,YA,DASAR CK-4C,VALID AWAL - Laporan Packing Juni 02-13 REV TUD; detail packing menjadi dasar BJ/CK4C
2026-06-04,Kamis,2026-06-01 s/d 2026-06-13,New GCC 99 isi 16 Ambree Biru,36700,61.167,16,587200,NORMAL,210,7707000,YA,YA,DASAR CK-4C,VALID AWAL - Laporan Packing Juni 02-13 REV TUD; detail packing menjadi dasar BJ/CK4C
2026-06-04,Kamis,2026-06-01 s/d 2026-06-13,GCC 99 isi 12,1100,1.100,12,13200,NORMAL,170,187000,YA,YA,DASAR CK-4C,VALID AWAL - Laporan Packing Juni 02-13 REV TUD; detail packing menjadi dasar BJ/CK4C
2026-06-05,Jumat,2026-06-01 s/d 2026-06-13,Cengkeh Biru 77 isi 16,1800,3.000,16,28800,NORMAL,210,378000,YA,YA,DASAR CK-4C,VALID AWAL - Laporan Packing Juni 02-13 REV TUD; detail packing menjadi dasar BJ/CK4C
2026-06-05,Jumat,2026-06-01 s/d 2026-06-13,Cengkeh Biru 77 isi 12,1000,1.000,12,12000,NORMAL,170,170000,YA,YA,DASAR CK-4C,VALID AWAL - Laporan Packing Juni 02-13 REV TUD; detail packing menjadi dasar BJ/CK4C
2026-06-05,Jumat,2026-06-01 s/d 2026-06-13,New GCC 99 isi 16 Ambree Biru,27600,46.000,16,441600,NORMAL,210,5796000,YA,YA,DASAR CK-4C,VALID AWAL - Laporan Packing Juni 02-13 REV TUD; detail packing menjadi dasar BJ/CK4C
2026-06-06,Sabtu,2026-06-01 s/d 2026-06-13,GCC 99 isi 12,35000,35.000,12,420000,NORMAL,170,5950000,YA,YA,DASAR CK-4C,VALID AWAL - Laporan Packing Juni 02-13 REV TUD; detail packing menjadi dasar BJ/CK4C
2026-06-08,Senin,2026-06-01 s/d 2026-06-13,GCC 99 isi 12,35000,35.000,12,420000,NORMAL,170,5950000,YA,YA,DASAR CK-4C,VALID AWAL - Laporan Packing Juni 02-13 REV TUD; detail packing menjadi dasar BJ/CK4C
2026-06-09,Selasa,2026-06-01 s/d 2026-06-13,BAL 9 isi 12,1600,1.600,12,19200,NORMAL,175,280000,YA,YA,DASAR CK-4C,VALID AWAL - Laporan Packing Juni 02-13 REV TUD; detail packing menjadi dasar BJ/CK4C
2026-06-09,Selasa,2026-06-01 s/d 2026-06-13,New GCC 99 isi 16 Ambree Biru,27000,45.000,16,432000,NORMAL,210,5670000,YA,YA,DASAR CK-4C,VALID AWAL - Laporan Packing Juni 02-13 REV TUD; detail packing menjadi dasar BJ/CK4C
2026-06-09,Selasa,2026-06-01 s/d 2026-06-13,Cengkeh Refill Hitam isi 12,200,0.333,12,2400,NORMAL,230,46000,YA,YA,DASAR CK-4C,VALID AWAL - Laporan Packing Juni 02-13 REV TUD; detail packing menjadi dasar BJ/CK4C
