tanggal,merek,total_pack_detail_karyawan,total_pack_rekap_resmi,selisih_pack,total_upah_detail,status_validasi,aksi
2026-06-02,New GCC 99 isi 16 Ambree Biru,4800,4800,0,1008000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-02,GCC 99 isi 12,39900,39900,0,6783000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-03,New GCC 99 isi 16 Ambree Biru,35310,35310,0,7415100,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-04,New GCC 99 isi 16 Ambree Biru,36700,36700,0,7707000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-04,GCC 99 isi 12,1100,1100,0,187000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-05,Cengkeh Biru 77 isi 16,1800,1800,0,378000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-05,Cengkeh Biru 77 isi 12,1000,1000,0,170000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-05,New GCC 99 isi 16 Ambree Biru,27600,27600,0,5796000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-06,GCC 99 isi 12,35000,35000,0,5950000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-08,GCC 99 isi 12,35000,35000,0,5950000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-09,BAL 9 isi 12,1600,1600,0,280000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-09,New GCC 99 isi 16 Ambree Biru,27000,27000,0,5670000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-09,Cengkeh Refill Hitam isi 12,200,200,0,46000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-10,New GCC 99 isi 16 Ambree Biru,36000,36000,0,7560000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-11,New GCC 99 isi 16 Ambree Biru,6010,6010,0,1262100,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-11,GCC 99 isi 12,31000,31000,0,5270000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-12,BAL 9 isi 12,200,200,0,35000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-12,GCC 99 isi 12,50000,50000,0,8500000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-13,Cengkeh Biru 77 isi 16,1800,1800,0,378000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-13,Cengkeh Biru 77 isi 12,1000,1000,0,170000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
2026-06-13,New GCC 99 isi 16 Ambree Biru,34600,34600,0,7266000,VALID AWAL - COCOK,Dipakai sebagai dasar update aplikasi produksi packing/verpack Juni 02-13 REV TUD
