No,SEQ MEREK,NAMA MEREK,JNS PROD,KD ASAL,ISI,SATUAN,HJE,TARIF SPESIFIK,NO KEP,TGL KEP,BAHAN KEMASAN,ID MEREK DETAIL,ID JENIS KEMASAN,ID JENIS PRODUKSI BKC,SERI PITA,KETERANGAN,JENIS PRODUKSI HT,TGL DOK PRODUKSI,NO DOK PRODUKSI,JUMLAH KEMASAN,JUMLAH KEMASAN BERPITA
1,06135564-bc06-0706-0101-001907285704,NEW GEDUNG CENGKEH COKLAT,SKT,D,16,btg,13775,122,KEP-2745/KBC.1201/TRF/2024,2024-12-20,Kertas dan Sejenisnya,41de451a-e061-b66f-e064-90e2ba3fefe8,,7,1,-,44,02/05/2026,01 (2026),3000,3000
2,06135564-bc06-0706-0101-001907278160,GEDUNG CENGKEH COKLAT 99,SKT,D,12,btg,10325,122,KEP-1059/KBC.1201/TRF/2024,2024-12-13,Kertas dan Sejenisnya,41de451b-0279-b66f-e064-90e2ba3fefe8,,7,1,-,44,02/05/2026,01 (2026),12500,12500
3,06135564-bc06-0706-0101-001907278159,CENGKEH REFILL,SKT,D,12,btg,10500,122,KEP-1058/KBC.1201/TRF/2024,2024-12-13,Kertas dan Sejenisnya,41de451a-edd3-b66f-e064-90e2ba3fefe8,,7,1,-,44,02/05/2026,01 (2026),7400,7400
4,06135564-bc06-0706-0101-001907285704,NEW GEDUNG CENGKEH COKLAT,SKT,D,16,btg,13775,122,KEP-2745/KBC.1201/TRF/2024,2024-12-20,Kertas dan Sejenisnya,41de451a-e061-b66f-e064-90e2ba3fefe8,,7,1,-,44,04/05/2026,02 (2026),12100,12100
5,06135564-bc06-0706-0101-001907278160,GEDUNG CENGKEH COKLAT 99,SKT,D,12,btg,10325,122,KEP-1059/KBC.1201/TRF/2024,2024-12-13,Kertas dan Sejenisnya,41de451b-0279-b66f-e064-90e2ba3fefe8,,7,1,-,44,04/05/2026,02 (2026),30000,30000
6,06135564-bc06-0706-0101-001907285704,NEW GEDUNG CENGKEH COKLAT,SKT,D,16,btg,13775,122,KEP-2745/KBC.1201/TRF/2024,2024-12-20,Kertas dan Sejenisnya,41de451a-e061-b66f-e064-90e2ba3fefe8,,7,1,-,44,05/05/2026,03 (2026),27000,27000
7,06135564-bc06-0706-0101-001907278160,GEDUNG CENGKEH COKLAT 99,SKT,D,12,btg,10325,122,KEP-1059/KBC.1201/TRF/2024,2024-12-13,Kertas dan Sejenisnya,41de451b-0279-b66f-e064-90e2ba3fefe8,,7,1,-,44,05/05/2026,03 (2026),10000,10000
8,06135564-bc06-0706-0101-001907285704,NEW GEDUNG CENGKEH COKLAT,SKT,D,16,btg,13775,122,KEP-2745/KBC.1201/TRF/2024,2024-12-20,Kertas dan Sejenisnya,41de451a-e061-b66f-e064-90e2ba3fefe8,,7,1,-,44,06/05/2026,04 (2026),33000,33000
9,06135564-bc06-0706-0101-001907278159,CENGKEH REFILL,SKT,D,12,btg,10500,122,KEP-1058/KBC.1201/TRF/2024,2024-12-13,Kertas dan Sejenisnya,41de451a-edd3-b66f-e064-90e2ba3fefe8,,7,1,-,44,06/05/2026,04 (2026),2050,2050
10,06135564-bc06-0706-0101-001907278160,GEDUNG CENGKEH COKLAT 99,SKT,D,12,btg,10325,122,KEP-1059/KBC.1201/TRF/2024,2024-12-13,Kertas dan Sejenisnya,41de451b-0279-b66f-e064-90e2ba3fefe8,,7,1,-,44,07/05/2026,05 (2026),40000,40000
