tanggal,uraian_kegiatan,merek_1,jenis_1,isi_1,hje_1,tarif_1,no_dok_1,tgl_dok_1,keping_1,merek_2,jenis_2,isi_2,hje_2,tarif_2,no_dok_2,tgl_dok_2,keping_2,merek_3,jenis_3,isi_3,hje_3,tarif_3,no_dok_3,tgl_dok_3,keping_3,keterangan,status_data,sumber_data
2026-04-01,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO AWAL EXCEL,2026-04-01,55700,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO AWAL EXCEL,2026-04-01,7420,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO AWAL EXCEL,2026-04-01,27100,Saldo awal mengikuti Excel STOK AWAL,VALID AWAL - SUMBER EXCEL,05.PEMAKAIAN PITA MEI 2026 -.xlsx
2026-04-01,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,CK-1 PERLU NOMOR,2026-04-01,120000,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,Tidak ada dokumen,2026-04-01,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,CK-1 PERLU NOMOR,2026-04-01,120000,Debet mengikuti Excel MASUK / CK-1. Nomor CK-1 perlu dikunci jika masih PERLU NOMOR,VALID AWAL - SUMBER EXCEL,05.PEMAKAIAN PITA MEI 2026 -.xlsx
2026-04-01,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,Tidak ada dokumen,2026-04-01,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,Tidak ada dokumen,2026-04-01,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,Tidak ada dokumen,2026-04-01,0,Kredit mengikuti Excel PRODUKSI. CK4C dipakai sebagai kontrol silang,VALID AWAL - SUMBER EXCEL,05.PEMAKAIAN PITA MEI 2026 -.xlsx
2026-04-01,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,Tidak ada dokumen,2026-04-01,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,Tidak ada dokumen,2026-04-01,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,Tidak ada dokumen,2026-04-01,0,Mengikuti Excel KELUAR KE B.A.L 2,VALID AWAL - SUMBER EXCEL,05.PEMAKAIAN PITA MEI 2026 -.xlsx
2026-04-01,Saldo Akhir Kontrol,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO AKHIR EXCEL,2026-04-01,175700,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO AKHIR EXCEL,2026-04-01,7420,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO AKHIR EXCEL,2026-04-01,147100,Saldo akhir mengikuti Excel STOK AKHIR,VALID AWAL - SUMBER EXCEL,05.PEMAKAIAN PITA MEI 2026 -.xlsx
2026-04-02,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO AWAL EXCEL,2026-04-02,175700,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO AWAL EXCEL,2026-04-02,7420,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO AWAL EXCEL,2026-04-02,147100,Saldo awal mengikuti Excel STOK AWAL,VALID AWAL - SUMBER EXCEL,05.PEMAKAIAN PITA MEI 2026 -.xlsx
2026-04-02,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,Tidak ada dokumen,2026-04-02,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,Tidak ada dokumen,2026-04-02,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,Tidak ada dokumen,2026-04-02,0,Debet mengikuti Excel MASUK / CK-1. Nomor CK-1 perlu dikunci jika masih PERLU NOMOR,VALID AWAL - SUMBER EXCEL,05.PEMAKAIAN PITA MEI 2026 -.xlsx
2026-04-02,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,PRODUKSI EXCEL / CK4C KONTROL,2026-04-02,12500,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,PRODUKSI EXCEL / CK4C KONTROL,2026-04-02,7400,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,PRODUKSI EXCEL / CK4C KONTROL,2026-04-02,3200,Kredit mengikuti Excel PRODUKSI. CK4C dipakai sebagai kontrol silang,VALID AWAL - SUMBER EXCEL,05.PEMAKAIAN PITA MEI 2026 -.xlsx
2026-04-02,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,Tidak ada dokumen,2026-04-02,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,Tidak ada dokumen,2026-04-02,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,Tidak ada dokumen,2026-04-02,0,Mengikuti Excel KELUAR KE B.A.L 2,VALID AWAL - SUMBER EXCEL,05.PEMAKAIAN PITA MEI 2026 -.xlsx
2026-04-02,Saldo Akhir Kontrol,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO AKHIR EXCEL,2026-04-02,163200,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO AKHIR EXCEL,2026-04-02,20,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO AKHIR EXCEL,2026-04-02,143900,Saldo akhir mengikuti Excel STOK AKHIR,VALID AWAL - SUMBER EXCEL,05.PEMAKAIAN PITA MEI 2026 -.xlsx
