tanggal,uraian_kegiatan,merek_1,jenis_1,isi_1,hje_1,tarif_1,no_dok_1,tgl_dok_1,keping_1,merek_2,jenis_2,isi_2,hje_2,tarif_2,no_dok_2,tgl_dok_2,keping_2,merek_3,jenis_3,isi_3,hje_3,tarif_3,no_dok_3,tgl_dok_3,keping_3,keterangan
2026-05-01,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-01MEI,2026-05-01,173700,PITA REFILL,SKT,12,10500,122,SALDO-AWAL-01MEI,2026-05-01,19420,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-01MEI,2026-05-01,182900,Saldo awal/sisa kegiatan sebelumnya
2026-05-01,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada penerimaan CK-1
2026-05-01,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pemakaian CK4C
2026-05-01,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pengembalian pita tercatat
2026-05-02,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-HARIAN,2026-05-02,173700,PITA REFILL,SKT,12,10500,122,SALDO-AWAL-HARIAN,2026-05-02,19420,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-HARIAN,2026-05-02,182900,Saldo awal sebelum mutasi hari berjalan
2026-05-02,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada penerimaan CK-1
2026-05-02,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,CK4C-01-2026,2026-05-02,12500,PITA REFILL,SKT,12,10500,122,CK4C-01-2026,2026-05-02,7400,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,CK4C-01-2026,2026-05-02,3000,Kredit dari CK4C/verpack official
2026-05-02,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pengembalian pita tercatat
2026-05-04,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-HARIAN,2026-05-04,161200,PITA REFILL,SKT,12,10500,122,SALDO-AWAL-HARIAN,2026-05-04,12020,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-HARIAN,2026-05-04,179900,Saldo awal sebelum mutasi hari berjalan
2026-05-04,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada penerimaan CK-1
2026-05-04,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,CK4C-02-2026,2026-05-04,30000,PITA REFILL,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,CK4C-02-2026,2026-05-04,12100,Kredit dari CK4C/verpack official
2026-05-04,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pengembalian pita tercatat
2026-05-05,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-HARIAN,2026-05-05,131200,PITA REFILL,SKT,12,10500,122,SALDO-AWAL-HARIAN,2026-05-05,12020,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-HARIAN,2026-05-05,167800,Saldo awal sebelum mutasi hari berjalan
2026-05-05,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada penerimaan CK-1
2026-05-05,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,CK4C-03-2026,2026-05-05,10000,PITA REFILL,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,CK4C-03-2026,2026-05-05,27000,Kredit dari CK4C/verpack official
2026-05-05,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pengembalian pita tercatat
2026-05-06,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-HARIAN,2026-05-06,121200,PITA REFILL,SKT,12,10500,122,SALDO-AWAL-HARIAN,2026-05-06,12020,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-HARIAN,2026-05-06,140800,Saldo awal sebelum mutasi hari berjalan
2026-05-06,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada penerimaan CK-1
2026-05-06,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL,SKT,12,10500,122,CK4C-04-2026,2026-05-06,2050,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,CK4C-04-2026,2026-05-06,33000,Kredit dari CK4C/verpack official
2026-05-06,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pengembalian pita tercatat
2026-05-07,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-HARIAN,2026-05-07,121200,PITA REFILL,SKT,12,10500,122,SALDO-AWAL-HARIAN,2026-05-07,9970,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-HARIAN,2026-05-07,107800,Saldo awal sebelum mutasi hari berjalan
