tanggal,uraian_kegiatan,merek_1,jenis_1,isi_1,hje_1,tarif_1,no_dok_1,tgl_dok_1,keping_1,merek_2,jenis_2,isi_2,hje_2,tarif_2,no_dok_2,tgl_dok_2,keping_2,merek_3,jenis_3,isi_3,hje_3,tarif_3,no_dok_3,tgl_dok_3,keping_3,keterangan
2026-05-06,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-HARIAN,2026-05-06,123200,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AWAL-HARIAN,2026-05-06,20,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-HARIAN,2026-05-06,104800,Saldo awal mengikuti Excel STOK AWAL
2026-05-06,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,CK-1 900144,2026-05-04,12000,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,CK-1 900144,2026-05-04,60000,Debet mengikuti Excel MASUK; dokumen CK-1 No 900144 tanggal 04 Mei 2026
2026-05-06,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,PRODUKSI EXCEL / CK4C KONTROL,2026-05-06,2050,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,PRODUKSI EXCEL / CK4C KONTROL,2026-05-06,34800,Kredit mengikuti Excel PRODUKSI; CK4C kontrol silang
2026-05-06,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pengembalian
2026-05-06,Saldo Akhir Kontrol,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AKHIR-EXCEL,2026-05-06,123200,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AKHIR-EXCEL,2026-05-06,9970,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AKHIR-EXCEL,2026-05-06,130000,Saldo akhir mengikuti Excel STOK AKHIR
2026-05-07,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-HARIAN,2026-05-07,123200,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AWAL-HARIAN,2026-05-07,9970,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-HARIAN,2026-05-07,130000,Saldo awal mengikuti Excel STOK AWAL
2026-05-07,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada penerimaan CK-1
2026-05-07,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,PRODUKSI EXCEL / CK4C KONTROL,2026-05-07,40000,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Kredit mengikuti Excel PRODUKSI; CK4C kontrol silang
2026-05-07,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pengembalian
2026-05-07,Saldo Akhir Kontrol,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AKHIR-EXCEL,2026-05-07,83200,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AKHIR-EXCEL,2026-05-07,9970,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AKHIR-EXCEL,2026-05-07,130000,Saldo akhir mengikuti Excel STOK AKHIR
2026-05-08,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-HARIAN,2026-05-08,83200,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AWAL-HARIAN,2026-05-08,9970,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-HARIAN,2026-05-08,130000,Saldo awal mengikuti Excel STOK AWAL
2026-05-08,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada penerimaan CK-1
2026-05-08,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,PRODUKSI EXCEL / CK4C KONTROL,2026-05-08,30000,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Kredit mengikuti Excel PRODUKSI; CK4C kontrol silang
2026-05-08,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pengembalian
2026-05-08,Saldo Akhir Kontrol,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AKHIR-EXCEL,2026-05-08,53200,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AKHIR-EXCEL,2026-05-08,9970,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AKHIR-EXCEL,2026-05-08,130000,Saldo akhir mengikuti Excel STOK AKHIR
2026-05-09,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-HARIAN,2026-05-09,53200,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AWAL-HARIAN,2026-05-09,9970,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-HARIAN,2026-05-09,130000,Saldo awal mengikuti Excel STOK AWAL
2026-05-09,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada penerimaan CK-1
2026-05-09,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,PRODUKSI EXCEL / CK4C KONTROL,2026-05-09,32500,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,PRODUKSI EXCEL / CK4C KONTROL,2026-05-09,1200,Kredit mengikuti Excel PRODUKSI; CK4C kontrol silang
2026-05-09,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pengembalian
