tanggal,uraian_kegiatan,merek_1,jenis_1,isi_1,hje_1,tarif_1,no_dok_1,tgl_dok_1,keping_1,merek_2,jenis_2,isi_2,hje_2,tarif_2,no_dok_2,tgl_dok_2,keping_2,merek_3,jenis_3,isi_3,hje_3,tarif_3,no_dok_3,tgl_dok_3,keping_3,keterangan
2026-05-11,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-HARIAN,2026-05-11,20700,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AWAL-HARIAN,2026-05-11,9970,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-HARIAN,2026-05-11,128800,Saldo awal mengikuti Excel STOK AWAL; koreksi PITA 16 dari 107.800 menjadi 128.800
2026-05-11,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,CK-1 900436,2026-05-11,180000,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,CK-1 900436,2026-05-11,60000,Debet mengikuti Excel MASUK; dokumen CK-1 No 900436 tanggal 11 Mei 2026
2026-05-11,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,PRODUKSI EXCEL / CK4C KONTROL,2026-05-11,20000,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,PRODUKSI EXCEL / CK4C KONTROL,2026-05-11,6000,Kredit mengikuti Excel PRODUKSI; CK4C sebagai kontrol silang
2026-05-11,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pengembalian
2026-05-11,Saldo Akhir Kontrol,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AKHIR-EXCEL,2026-05-11,180700,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AKHIR-EXCEL,2026-05-11,9970,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AKHIR-EXCEL,2026-05-11,182800,Saldo akhir mengikuti Excel STOK AKHIR
2026-05-12,Saldo Awal,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AWAL-HARIAN,2026-05-12,180700,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AWAL-HARIAN,2026-05-12,9970,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AWAL-HARIAN,2026-05-12,182800,Saldo awal mengikuti Excel STOK AWAL
2026-05-12,Penerimaan (+),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada penerimaan CK-1
2026-05-12,Pemakaian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,PRODUKSI EXCEL / CK4C KONTROL,2026-05-12,39000,Kredit mengikuti Excel PRODUKSI; CK4C sebagai kontrol silang
2026-05-12,Pengembalian (-),PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,-,,0,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,-,,0,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,-,,0,Tidak ada pengembalian
2026-05-12,Saldo Akhir Kontrol,PITA 99 & 77 / GCC 99 isi 12,SKT,12,10325,122,SALDO-AKHIR-EXCEL,2026-05-12,180700,PITA REFILL / Cengkeh Refill isi 12,SKT,12,10500,122,SALDO-AKHIR-EXCEL,2026-05-12,9970,PITA 16 / New GCC 99 isi 16,SKT,16,13775,122,SALDO-AKHIR-EXCEL,2026-05-12,143800,Saldo akhir mengikuti Excel STOK AKHIR
