nama_input,nama_master,kode_sku,kelompok,isi_per_pack,pack_per_karton,status_barang,catatan
Gedung Cengkeh 16 Biru,Gedung Cengkeh Coklat 99 isi 16,GCC99-16,BUKAN NEW,16,600,REGULER,"Kata Biru hanya alias data lapangan, tidak dimunculkan di nama master."
Gedung Cengkeh Coklat 99 isi 16,Gedung Cengkeh Coklat 99 isi 16,GCC99-16,BUKAN NEW,16,600,REGULER,"Master resmi bukan New."
GCC 16,Gedung Cengkeh Coklat 99 isi 16,GCC99-16,BUKAN NEW,16,600,REGULER,"Alias operasional."
GC New 16,New Gedung Cengkeh Coklat 99 isi 16,GCC99-16-NEW,NEW,16,600,REGULER,"Kelompok New, jangan digabung dengan bukan New."
GCC New 16,New Gedung Cengkeh Coklat 99 isi 16,GCC99-16-NEW,NEW,16,600,REGULER,"Kelompok New."
New Ambree Biru,New Gedung Cengkeh Coklat 99 isi 16,GCC99-16-NEW,NEW,16,600,REGULER,"Alias data lapangan untuk kelompok New."
New Gedung Cengkeh Coklat 99 isi 16,New Gedung Cengkeh Coklat 99 isi 16,GCC99-16-NEW,NEW,16,600,REGULER,"Master resmi kelompok New."
Gedung Cengkeh 16 Sample,Gedung Cengkeh Coklat 99 isi 16 Sample,GCC99-16-SAMPLE,BUKAN NEW,16,600,SAMPLE / NON REGULER,"Sample dipisah dari stok reguler dan piutang reguler."
New Gedung Cengkeh Coklat 99 isi 16 Sample,New Gedung Cengkeh Coklat 99 isi 16 Sample,GCC99-16-NEW-SAMPLE,NEW,16,600,SAMPLE / NON REGULER,"Sample New dipisah dari stok reguler."
GC Coklat 99 Polos,Gedung Cengkeh Coklat 99 isi 12 Polos,GCC99-12-POLOS,REGULER,12,1000,REGULER,"Alias stock opname."
GC Coklat 99 Merah,Gedung Cengkeh Coklat 99 isi 12 Merah,GCC99-12-MERAH,REGULER,12,1000,REGULER,"Alias stock opname."
GC Coklat 99 Kuning,Gedung Cengkeh Coklat 99 isi 12 Kuning,GCC99-12-KUNING,REGULER,12,1000,REGULER,"Alias stock opname."
Cengkeh Refill Hitam,Cengkeh Refill,CR-12,REGULER,12,600,REGULER,"Alias opname."
Cengkeh Refill,Cengkeh Refill,CR-12,REGULER,12,600,REGULER,"Master resmi."
Cengkeh Refill Sample,Cengkeh Refill Sample,CR-12-SAMPLE,REGULER,12,600,SAMPLE / NON REGULER,"Sample dipisah."
Cengkeh Biru 77 isi 12,Cengkeh Biru 77 isi 12,CB77-12,REGULER,12,1000,REGULER,"Master resmi."
Cengkeh Biru 77 isi 16,Cengkeh Biru 77 isi 16,CB77-16,REGULER,16,600,REGULER,"Master resmi."
Cengkeh Biru 77 isi 16 Sample,Cengkeh Biru 77 isi 16 Sample,CB77-16-SAMPLE,REGULER,16,600,SAMPLE / NON REGULER,"Sample dipisah."
BAL 9,BAL 9,BAL9-12,REGULER,12,1000,REGULER,"Master resmi."
