po_id,tanggal,no_po,customer,pasar_team,produk,kategori_produk,debet_po_pack,kredit_sj_pack,saldo_po_pack,tud_pack,tud_slop,saldo_total_dengan_tud_pack,pack_per_karton,saldo_karton,target_kirim,status_po,status_validasi,status_piutang,no_sj_terkait,catatan
PO-AKTIF-20260529-001,2026-05-29,,Padang PMS,Padang PMS,Gedung Cengkeh Coklat 99 isi 12,GCC99-12,80000,0,80000,0,0,80000,1000,80 karton,,BELUM TERKIRIM,VALID AWAL,BELUM MENJADI PIUTANG,,PO aktif Padang PMS; belum menjadi piutang sebelum DO/SJ resmi.
PO-AKTIF-20260529-002,2026-05-29,,Padang PMS,Padang PMS,New Gedung Cengkeh Coklat 99 isi 16,NEW-GCC99-16,75000,0,75000,0,0,75000,600,125 karton,,BELUM TERKIRIM,PERLU KONFIRMASI,BELUM MENJADI PIUTANG,,Varian New GCC 99 isi 16 perlu dikunci: biru/kuning/standar.
PO-AKTIF-20260529-003,2026-05-29,,Pasar Banten,Banten / Mas Tomi,Gedung Cengkeh Coklat 99 isi 12,GCC99-12,100000,0,100000,0,0,100000,1000,100 karton,,BELUM TERKIRIM,VALID AWAL,BELUM MENJADI PIUTANG,,PO aktif Banten; jangan masuk piutang sebelum SJ baru resmi.
PO-AKTIF-20260529-004,2026-05-29,,Tri Sukma Aji / Mojokerto,Team Aji,New Gedung Cengkeh Coklat 99 isi 16,NEW-GCC99-16,25800,0,25800,0,0,25800,600,43 karton,2026-06-01,SISA PO,VALID AWAL,BELUM MENJADI PIUTANG,,Gabungan sisa PO 8 karton + PO baru 35 karton; target kirim Senin 01 Juni 2026.
PO-AKTIF-20260529-005,2026-05-29,,Udho / Jawa Tengah,Udho / Jawa Tengah,New Gedung Cengkeh Coklat 99 isi 16,NEW-GCC99-16,3000,0,3000,150,15,3150,600,5 karton,,PENDING,VALID AWAL,BELUM MENJADI PIUTANG,,PO pending; TUD 5% = 150 pack / 15 slop. Jangan diprioritaskan sebelum keputusan final.
PO-AKTIF-20260529-006,2026-05-29,,Jambi / Yonka,Jambi / Yonka,Gedung Cengkeh Coklat 99 isi 16,GCC99-16,12000,0,12000,0,0,12000,600,20 karton,,BELUM TERKIRIM,PERLU KONFIRMASI,BELUM MENJADI PIUTANG,,Perlu konfirmasi apakah SKU sama dengan New GCC 99 isi 16.
PO-AKTIF-20260529-007,2026-05-29,,Usup Karmin / Bogor,Bogor / Usup Karmin,Cengkeh Biru 77 isi 12,CB77-12,10000,0,10000,0,0,10000,1000,10 karton,,BELUM TERKIRIM,VALID AWAL,BELUM MENJADI PIUTANG,,PO aktif Bogor; belum menjadi piutang.
PO-AKTIF-20260529-008,2026-05-29,,Rendra / Madiun,Madiun / Rendra,Cengkeh Biru 77 isi 12,CB77-12,5000,0,5000,250,25,5250,1000,5 karton,,BELUM TERKIRIM,VALID AWAL,BELUM MENJADI PIUTANG,,TUD 5% eksplisit = 250 pack / 25 slop.
PO-AKTIF-20260529-009,2026-05-29,2026-0522/015/05/22/26,TSM / Makassar,TSM / Makassar,Cengkeh Biru 16 Bungkus,CB16,3000,0,3000,0,0,3000,600,5 karton,,BELUM TERKIRIM,PERLU KONFIRMASI,BELUM MENJADI PIUTANG,,PO TSM tertulis 3.000 bungkus; estimasi 5 karton. Konfirmasi apakah sama dengan CB77 isi 16.
PO-AKTIF-20260529-010,2026-05-29,,PSP,Padang PSP,New Gedung Cengkeh Coklat 99 isi 16 TSG Baru Ambree Biru,NEW-GCC99-16-BIRU,18000,0,18000,0,0,18000,600,30 karton,,BELUM TERKIRIM,VALID AWAL,BELUM MENJADI PIUTANG,,Varian Ambree Biru / TSG Baru disebut eksplisit.
