tanggal_giling,hari,jumlah_batang,estimasi_pack,estimasi_karton,total_upah_giling,jumlah_merek_aktif,merek_aktif,status_validasi
2026-05-02,Sabtu,504800,36893.75,47.24,20688600,3,"Cengkeh Biru 77 isi 16, GCC 99 isi 12, GCC 99 isi 16",VALID AWAL
2026-05-04,Senin,508100,42341.67,42.342,20324000,1,GCC 99 isi 12,VALID AWAL
2026-05-05,Selasa,504800,42066.67,42.084,20193800,2,"Cengkeh Refill isi 12, GCC 99 isi 12",VALID AWAL
2026-05-06,Rabu,500700,41110.42,42.34,20087000,2,"Cengkeh Biru 77 isi 16, GCC 99 isi 12",VALID AWAL
2026-05-07,Kamis,437600,36466.67,36.467,17504000,1,GCC 99 isi 12,VALID AWAL
2026-05-08,Jumat,430300,35445.83,36.27,17251600,3,"Cengkeh Biru 77 isi 12, Cengkeh Biru 77 isi 16, GCC 99 isi 12",VALID AWAL
2026-05-09,Sabtu,461700,38475.0,38.475,18468000,1,GCC 99 isi 12,VALID AWAL
2026-05-11,Senin,490000,40833.33,40.833,19600000,1,GCC 99 isi 12,VALID AWAL
2026-05-12,Selasa,493600,37560.42,44.707,20087000,2,"GCC 99 isi 12, GCC 99 isi 16",VALID AWAL
2026-05-13,Rabu,482300,40191.67,40.192,19292000,1,GCC 99 isi 12,VALID AWAL
2026-05-18,Senin,507800,42108.33,42.525,20332000,2,"GCC 99 isi 12, GCC 99 isi 16",VALID AWAL
2026-05-19,Selasa,556700,46391.67,46.392,22268000,1,GCC 99 isi 12,VALID AWAL - UPDATE 19 MEI
2026-05-20,Rabu,563900,40629.17,53.354,23166800,2,"GCC 99 isi 12, GCC 99 isi 16",VALID AWAL - UPDATE 20 MEI
2026-05-21,Kamis,463200,38600.0,38.6,18528000,1,GCC 99 isi 12,VALID AWAL - UPDATE 21 MEI
