tanggal_verpack,hari,jumlah_pack,estimasi_karton,jumlah_batang_equiv,total_upah_verpack,jumlah_merek_aktif,merek_aktif,status_validasi
2026-05-02,Sabtu,23100,30.1667,290000,4499000,4,"Cengkeh Biru 77 isi 16, Cengkeh Refill isi 12, GCC 99 isi 12, GCC 99 isi 16",VALID AWAL
2026-05-04,Senin,42100,50.1667,553600,7641000,2,"GCC 99 isi 12, GCC 99 isi 16",VALID AWAL
2026-05-05,Selasa,37000,55.0000,552000,7370000,2,"GCC 99 isi 12, GCC 99 isi 16",VALID AWAL
2026-05-06,Rabu,36850,61.4167,581400,7779500,3,"Cengkeh Biru 77 isi 16, Cengkeh Refill isi 12, GCC 99 isi 16",VALID AWAL
2026-05-07,Kamis,40000,40.0000,480000,6800000,1,GCC 99 isi 12,VALID AWAL
2026-05-08,Jumat,30000,30.0000,360000,5100000,1,GCC 99 isi 12,VALID AWAL
2026-05-09,Sabtu,33700,34.5000,409200,5777000,3,"Cengkeh Biru 77 isi 12, Cengkeh Biru 77 isi 16, GCC 99 isi 12",VALID AWAL
2026-05-11,Senin,26000,30.0000,336000,4660000,2,"GCC 99 isi 12, GCC 99 isi 16",VALID AWAL
2026-05-12,Selasa,39000,65.0000,624000,8190000,1,GCC 99 isi 16,VALID AWAL
2026-05-13,Rabu,54600,57.6667,673600,9466000,2,"GCC 99 isi 12, GCC 99 isi 16",VALID AWAL
2026-05-14,Kamis,56000,56.0000,672000,9520000,1,GCC 99 isi 12,VALID AWAL
2026-05-18,Senin,21000,35.0000,336000,4410000,1,New GCC 99 isi 16 Ambree Kuning,VALID AWAL DENGAN PENYESUAIAN - TUD 600 PACK TERPISAH
2026-05-19,Selasa,36000,60.0000,576000,7560000,1,New GCC 99 isi 16 Ambree Kuning,VALID AWAL / OFFICIAL PITA
2026-05-20,Rabu,33800,56.3333,540800,7098000,1,New GCC 99 isi 16 Ambree Kuning,VALID AWAL / OFFICIAL PITA - UPDATE 21 MEI
2026-05-21,Kamis,33200,55.3333,531200,6972000,1,New GCC 99 isi 16 Ambree Kuning,VALID AWAL / OFFICIAL PITA - UPDATE 21 MEI
TOTAL,,542350,716.5833,7515800,102842500,6,"Semua merek aktif",VALID AWAL - TOTAL SAMPAI 21 MEI
