tanggal_update,kode_staging,kode_sku,merek,saldo_awal_20_mei,masuk_verpack_21_mei,keluar_sj126,koreksi_lain,saldo_usulan_21_mei,konversi_stok,status_sinkron,status_validasi,sumber,aksi_lanjutan,catatan
2026-05-21,STG-BJ-001,C-031,New Ambree Biru / New Gedung Cengkeh Coklat 99 isi 16 Ambree Biru,14450,5500,0,0,19950,"33 karton 1 bal 5 slop",SINKRON 21 MEI,VALID AWAL,browse_barang_jadi.csv,Pertahankan sementara,"Saldo 20 Mei 14.450 + verpack 21 Mei 5.500 = 19.950 pack. Tidak terkena SJ126 jika SJ126 dikunci ke C-023."
2026-05-21,STG-BJ-002,C-023,Gedung Cengkeh 16 New / New Gedung Cengkeh Coklat 99 isi 16,20530,27800,9000,0,39330,"65 karton 3 bal 3 slop",SINKRON 21 MEI / CEK DOBEL,VALID AWAL / CEK DOBEL SJ126,browse_barang_jadi.csv + browse_surat_jalan.csv,Tunggu konfirmasi Rijal,"Saldo 20 Mei 20.530 + verpack 21 Mei 27.800 - SJ126 9.000 = 39.330 pack. Jangan final sebelum pasti SJ126 belum pernah input dan benar mengurangi C-023."
2026-05-21,STG-BJ-003,,New Gedung Cengkeh Coklat 99 isi 16 Ambree Kuning,830,0,0,0,830,"1 karton 1 bal 3 slop",PERLU MAPPING,PERLU KONFIRMASI,browse_barang_jadi.csv,Cek mapping varian,"Perlu cek apakah Ambree Kuning 830 pack berdiri sendiri atau sudah masuk mapping C-023. Jangan digabung otomatis."
2026-05-21,STG-BJ-004,,Cengkeh Refill,1930,0,0,0,1930,"3 karton 1 bal 3 slop",TETAP / TIDAK ADA UPDATE 21 MEI,VALID AWAL,browse_barang_jadi.csv,Pertahankan sementara,"Belum ada pergerakan baru yang teridentifikasi pada 21 Mei."
2026-05-21,STG-BJ-005,,Gedung Cengkeh Coklat 99 Merah,500,0,0,0,500,"0 karton 5 slop",TETAP / STOK TIPIS,VALID AWAL,browse_barang_jadi.csv,Pertahankan sementara,"Stok tipis 500 pack. Tidak ada update baru 21 Mei."
2026-05-21,STG-BJ-006,,Gedung Cengkeh Coklat 99 Polos,0,0,0,0,0,"0",TETAP / STOK 0,VALID AWAL,browse_barang_jadi.csv,Pertahankan sementara,"Tidak ada saldo dan tidak ada pergerakan baru."
2026-05-21,STG-BJ-007,,Gedung Cengkeh Coklat 99 Kuning,0,0,0,0,0,"0",TETAP / STOK 0,VALID AWAL,browse_barang_jadi.csv,Pertahankan sementara,"Tidak ada saldo dan tidak ada pergerakan baru."
2026-05-21,STG-BJ-008,,Cengkeh Biru 77 isi 12,0,0,0,0,0,"0",TETAP / STOK 0,VALID AWAL,browse_barang_jadi.csv,Pertahankan sementara,"Tidak ada saldo dan tidak ada pergerakan baru."
2026-05-21,STG-BJ-009,,Gedung Cengkeh Coklat 99 isi 16 Biru,0,0,0,0,0,"0",TETAP / STOK 0,VALID AWAL,browse_barang_jadi.csv,Pertahankan sementara,"Tidak ada saldo dan tidak ada pergerakan baru."
2026-05-21,STG-BJ-010,,Gedung Cengkeh Coklat 99 isi 16 Kuning,0,0,0,0,0,"0",TETAP / STOK 0,VALID AWAL,browse_barang_jadi.csv,Pertahankan sementara,"Tidak ada saldo dan tidak ada pergerakan baru."
2026-05-21,STG-BJ-011,,Cengkeh Biru 77 isi 16,0,0,0,0,0,"0",TETAP / STOK 0,VALID AWAL,browse_barang_jadi.csv,Pertahankan sementara,"Tidak ada saldo dan tidak ada pergerakan baru."
2026-05-21,STG-BJ-012,,Cengkeh Refill Original,0,0,0,0,0,"0",TETAP / STOK 0,VALID AWAL,browse_barang_jadi.csv,Pertahankan sementara,"Tidak ada saldo dan tidak ada pergerakan baru."
2026-05-21,STG-BJ-013,,BAL 9,0,0,0,0,0,"0",TETAP / STOK 0,VALID AWAL,browse_barang_jadi.csv,Pertahankan sementara,"Tidak ada saldo dan tidak ada pergerakan baru."
