area,status,keputusan
Konsep Modul,SIAP,Kinerja dan Pembinaan Karyawan
Template Data,SIAP,Master giling verpack scorecard tersedia
Aturan Scoring,SIAP,Formula awal dan lanjutan tersedia
Kategori,SIAP,Bahasa pembinaan tersedia
Validasi Data,SIAP,Checklist validasi tersedia
Paket Pilot 22-25 Mei,SIAP,Rencana file dan review tersedia
Instruksi Ekstraksi,SIAP,Langkah ekstraksi tersedia
Data Asli,BELUM MASUK,Menunggu persetujuan dan pembacaan file sumber
Ranking Karyawan,BELUM DIBUAT,Tunggu data pilot valid
Menu Utama,BELUM DISAMBUNG,Tunggu hasil pilot disetujui
Keputusan Saat Ini,SIAP EKSEKUSI PILOT,Boleh lanjut ekstraksi data jika user setuju
