tanggal_closing,tanggal_laporan,brand,kode,pack,karton,bal,slop,pack_sisa,status,catatan
2026-05-25,2026-05-26,GC COKLAT 99,POLOS,0,0,0,0,0,KOSONG,Sesuai rincian stok BAL terbaru
2026-05-25,2026-05-26,GC COKLAT 99,MERAH,100000,100,0,0,0,VALID AWAL,Basis 1000 pack per karton
2026-05-25,2026-05-26,GC COKLAT 99,KUNING,0,0,0,0,0,KOSONG,Sesuai rincian stok BAL terbaru
2026-05-25,2026-05-26,REFILL,HITAM,1930,3,1,3,0,VALID AWAL,Basis tampilan stok: 3 karton 1 bal 3 slop
2026-05-25,2026-05-26,REFILL,SAMPLE,20,0,0,2,0,VALID AWAL,Basis tampilan stok: 2 slop
2026-05-25,2026-05-26,REFILL,ORIGINAL,0,0,0,0,0,KOSONG,Sesuai rincian stok BAL terbaru
2026-05-25,2026-05-26,GEDUNG CENGKEH 16,BIRU,19950,33,1,5,0,VALID AWAL,Basis 600 pack per karton; tampilan stok: 33 karton 1 bal 5 slop
2026-05-25,2026-05-26,GEDUNG CENGKEH 16,SAMPLE,250,0,2,5,0,VALID AWAL,Basis tampilan stok: 2 bal 5 slop
2026-05-25,2026-05-26,GEDUNG CENGKEH 16,KUNING,0,0,0,0,0,KOSONG,Sesuai rincian stok BAL terbaru
2026-05-25,2026-05-26,CENGKEH BIRU 77,12,0,0,0,0,0,KOSONG,Sesuai rincian stok BAL terbaru
2026-05-25,2026-05-26,CENGKEH BIRU 77,SAMPLE,0,0,0,0,0,KOSONG,Sesuai rincian stok BAL terbaru
2026-05-25,2026-05-26,CENGKEH BIRU 77 (16),16,0,0,0,0,0,KOSONG,Sesuai rincian stok BAL terbaru
2026-05-25,2026-05-26,CENGKEH BIRU 77 (16),SAMPLE,50,0,0,5,0,VALID AWAL,Basis tampilan stok: 5 slop
2026-05-25,2026-05-26,GC NEW 16,NEW 16,7330,12,1,3,0,VALID AWAL,Basis 600 pack per karton; tampilan stok: 12 karton 1 bal 3 slop
2026-05-25,2026-05-26,GC NEW 16,SAMPLE,0,0,0,0,0,KOSONG,Sesuai rincian stok BAL terbaru
2026-05-25,2026-05-26,BAL 9,BAL 9,0,0,0,0,0,KOSONG,Sesuai rincian stok BAL terbaru
2026-05-25,2026-05-26,BAL 9,SAMPLE,0,0,0,0,0,KOSONG,Sesuai rincian stok BAL terbaru
